network,metric_name,metric_value
2016#11,Total comment count,59883.0
2016#11,Unique users,27665.0
2016#11,Unique posts with comments,3749.0
2016#11,Total comments without text,13.0
2016#11,Total comments that are replies,59870.0
2016#11,Valid user to user replies,41485.0
2016#11,Unique user to user reply pairs,34486.0
2016#11,Average user reply counts,1.2029519225192833
2016#11,Maximum user reply counts,25.0
2016#11,Median posts per user,1.0
2016#11,Median users per post,1.0
2016#11,Ratio of users commenting on multiple posts,10.63371839581517
2016#11,Ratio of posts with multiple users commenting,2.394834350479512
2016#11,Total node count,26030.0
2016#11,Total edge count,36569.0
2016#11,Density,0.000107947211632
2016#11,Assortativity,-0.0679319151816973
2016#11,Community count,492.0
2016#11,Community modularity,0.8347059119987473
2016#11,Average internal vs external edge ratio,1.2159727099293716
2016#11-GCC,Total node count,24980.0
2016#11-GCC,Total edge count,35947.0
2016#11-GCC,Density,0.0001152192821954
2017#5,Total comment count,66433.0
2017#5,Unique users,24959.0
2017#5,Unique posts with comments,3148.0
2017#5,Total comments without text,17.0
2017#5,Total comments that are replies,66416.0
2017#5,Valid user to user replies,51060.0
2017#5,Unique user to user reply pairs,39562.0
2017#5,Average user reply counts,1.290632425054345
2017#5,Maximum user reply counts,40.0
2017#5,Median posts per user,1.0
2017#5,Median users per post,1.0
2017#5,Ratio of users commenting on multiple posts,10.05103923256672
2017#5,Ratio of posts with multiple users commenting,2.3428852539663017
2017#5,Total node count,24940.0
2017#5,Total edge count,39896.0
2017#5,Density,0.0001282873595695
2017#5,Assortativity,-0.1028424614218691
2017#5,Community count,339.0
2017#5,Community modularity,0.8018587735458229
2017#5,Average internal vs external edge ratio,1.2337324231980056
2017#5-GCC,Total node count,24271.0
2017#5-GCC,Total edge count,39504.0
2017#5-GCC,Density,0.0001341262003482
2017#12,Total comment count,60769.0
2017#12,Unique users,24027.0
2017#12,Unique posts with comments,2111.0
2017#12,Total comments without text,23.0
2017#12,Total comments that are replies,60746.0
2017#12,Valid user to user replies,45973.0
2017#12,Unique user to user reply pairs,34102.0
2017#12,Average user reply counts,1.348102750571814
2017#12,Maximum user reply counts,31.0
2017#12,Median posts per user,1.0
2017#12,Median users per post,1.0
2017#12,Ratio of users commenting on multiple posts,9.851956872959873
2017#12,Ratio of posts with multiple users commenting,2.2387813643707344
2017#12,Total node count,23525.0
2017#12,Total edge count,35194.0
2017#12,Density,0.0001271914219335
2017#12,Assortativity,-0.0868243149632344
2017#12,Community count,380.0
2017#12,Community modularity,0.8374134890789324
2017#12,Average internal vs external edge ratio,1.2289965694754674
2017#12-GCC,Total node count,22759.0
2017#12-GCC,Total edge count,34749.0
2017#12-GCC,Density,0.0001341791504459
2017#3,Total comment count,59817.0
2017#3,Unique users,23687.0
2017#3,Unique posts with comments,3528.0
2017#3,Total comments without text,19.0
2017#3,Total comments that are replies,59798.0
2017#3,Valid user to user replies,43752.0
2017#3,Unique user to user reply pairs,33548.0
2017#3,Average user reply counts,1.3041612018600215
2017#3,Maximum user reply counts,34.0
2017#3,Median posts per user,1.0
2017#3,Median users per post,1.0
2017#3,Ratio of users commenting on multiple posts,9.77017020867391
2017#3,Ratio of posts with multiple users commenting,2.461775170689489
